group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
elementwise,3,cold,elementwise,gpu,float32,65536,65536,262144,none,1,1.164,1.164,0,0,1
elementwise,3,hot,elementwise,gpu,float32,65536,65536,262144,none,10,5.566,0.5566,0,0,10
elementwise,3,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,197.044,65.681335,0,0,0
elementwise,3,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.221,1.221,0,0,1
elementwise,3,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.6390002,0.87966675,0,0,3
elementwise,4,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.791,0.0791,0,0,0
elementwise,4,cold,elementwise,gpu,float32,1024,1024,4096,none,1,0.849,0.849,0,0,1
elementwise,4,hot,elementwise,gpu,float32,1024,1024,4096,none,10,6.866,0.6866,0,0,10
elementwise,4,hot,elementwise,cpu,float32,65536,65536,262144,none,10,40.865997,4.0866,0,0,0
elementwise,4,cold,elementwise,gpu,float32,65536,65536,262144,none,1,0.89000005,0.89000005,0,0,1
elementwise,4,hot,elementwise,gpu,float32,65536,65536,262144,none,10,7.8059998,0.78059995,0,0,10
elementwise,4,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,197.389,65.79633,0,0,0
elementwise,4,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.66,1.66,0,0,1
elementwise,4,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.227,0.74233335,0,0,3
elementwise,5,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.792,0.0792,0,0,0
elementwise,5,cold,elementwise,gpu,float32,1024,1024,4096,none,1,0.849,0.849,0,0,1
elementwise,5,hot,elementwise,gpu,float32,1024,1024,4096,none,10,6.772,0.67719996,0,0,10
elementwise,5,hot,elementwise,cpu,float32,65536,65536,262144,none,10,41.054,4.1054,0,0,0
elementwise,5,cold,elementwise,gpu,float32,65536,65536,262144,none,1,0.857,0.857,0,0,1
elementwise,5,hot,elementwise,gpu,float32,65536,65536,262144,none,10,7.481,0.7481,0,0,10
elementwise,5,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,194.912,64.970665,0,0,0
elementwise,5,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.308,1.308,0,0,1
elementwise,5,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.771,0.92366666,0,0,3
elementwise,6,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.82100004,0.082100004,0,0,0
elementwise,6,cold,elementwise,gpu,float32,1024,1024,4096,none,1,0.82199997,0.82199997,0,0,1
elementwise,6,hot,elementwise,gpu,float32,1024,1024,4096,none,10,5.655,0.5655,0,0,10
elementwise,6,hot,elementwise,cpu,float32,65536,65536,262144,none,10,41.136,4.1136003,0,0,0
elementwise,6,cold,elementwise,gpu,float32,65536,65536,262144,none,1,0.87,0.87,0,0,1
elementwise,6,hot,elementwise,gpu,float32,65536,65536,262144,none,10,7.394,0.7394,0,0,10
elementwise,6,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,194.682,64.894005,0,0,0
elementwise,6,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.25,1.25,0,0,1
elementwise,6,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.662,0.88733333,0,0,3
elementwise,7,hot,elementwise,cpu,float32,1024,1024,4096,none,10,0.803,0.080299996,0,0,0
elementwise,7,cold,elementwise,gpu,float32,1024,1024,4096,none,1,0.824,0.824,0,0,1
elementwise,7,hot,elementwise,gpu,float32,1024,1024,4096,none,10,5.8980002,0.5898,0,0,10
elementwise,7,hot,elementwise,cpu,float32,65536,65536,262144,none,10,41.0,4.1,0,0,0
elementwise,7,cold,elementwise,gpu,float32,65536,65536,262144,none,1,0.891,0.891,0,0,1
elementwise,7,hot,elementwise,gpu,float32,65536,65536,262144,none,10,7.5579996,0.75579995,0,0,10
elementwise,7,hot,elementwise,cpu,float32,1048576,1048576,4194304,none,3,194.47801,64.826004,0,0,0
elementwise,7,cold,elementwise,gpu,float32,1048576,1048576,4194304,none,1,1.295,1.295,0,0,1
elementwise,7,hot,elementwise,gpu,float32,1048576,1048576,4194304,none,3,2.712,0.904,0,0,3
reduction,1,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.583,0.0583,0,0,0
reduction,1,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.9039999,1.9039999,0,0,1
reduction,1,hot,reduction,gpu,float32,1024,1024,4096,none,10,14.759001,1.4759,0,0,10
reduction,1,hot,reduction,cpu,float32,65536,65536,262144,none,10,22.688,2.2688,0,0,0
reduction,1,cold,reduction,gpu,float32,65536,65536,262144,none,1,27.289999,27.289999,0,0,1
reduction,1,hot,reduction,gpu,float32,65536,65536,262144,none,10,163.002,16.3002,0,0,10
