  state[215]: position=(-0.45000002, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[216]: position=(-0.35, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[217]: position=(-0.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[218]: position=(-0.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[219]: position=(-0.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[220]: position=(0.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[221]: position=(0.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[222]: position=(0.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[223]: position=(0.35, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[224]: position=(0.45000002, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[225]: position=(0.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[226]: position=(0.65000004, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[227]: position=(0.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[228]: position=(0.85, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[229]: position=(0.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[230]: position=(1.0500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[231]: position=(1.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[232]: position=(1.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[233]: position=(1.35, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[234]: position=(1.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[235]: position=(1.5500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[236]: position=(1.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[237]: position=(1.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[238]: position=(1.85, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[239]: position=(1.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[240]: position=(2.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[241]: position=(2.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[242]: position=(2.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[243]: position=(2.3500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[244]: position=(2.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[245]: position=(2.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[246]: position=(2.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[247]: position=(2.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[248]: position=(2.8500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[249]: position=(2.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[250]: position=(3.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[251]: position=(3.15, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[252]: position=(3.25, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[253]: position=(3.3500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[254]: position=(3.45, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[255]: position=(3.55, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[256]: position=(3.65, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[257]: position=(3.75, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[258]: position=(3.8500001, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[259]: position=(3.95, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[260]: position=(4.05, -2.75), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
