family,process,phase,backend,batch,iterations,elapsed_ms,per_iteration_ms,observation,uploads,downloads,compute_passes
rnn,5,step_sgd,cpu,16,3,5.7079997,1.9026666,none,0,0,0
rnn,5,step_adam,cpu,16,3,26.558998,8.853,none,0,0,0
rnn,5,loss_read,cpu,16,1,0.015,0.015,every_step,0,0,0
rnn,5,step_resident,cpu,16,3,132.785,44.26167,spaced,0,0,0
rnn,5,forward_cold,gpu,16,1,39.111,39.111,none,0,0,43
rnn,5,forward_hot,gpu,16,3,117.668,39.222668,none,0,0,129
rnn,5,backward_cold,gpu,16,1,98.622,98.622,none,0,0,111
rnn,5,backward_hot,gpu,16,3,298.12,99.37333,none,0,0,333
rnn,5,step_sgd,gpu,16,3,45.489998,15.163333,none,0,0,50
rnn,5,step_adam,gpu,16,3,210.915,70.305,none,0,0,240
rnn,5,loss_read,gpu,16,1,0.337,0.337,every_step,0,1,0
rnn,5,step_resident,gpu,16,3,696.106,232.03534,spaced,0,0,729
rnn,5,step_end_to_end,gpu,16,1,193.804,193.804,every_step,7,6,173
rnn,5,construction,cpu,64,5,9.000999,1.8001999,none,0,0,0
rnn,5,forward_cold,cpu,64,1,28.409,28.409,none,0,0,0
rnn,5,forward_hot,cpu,64,2,56.849,28.4245,none,0,0,0
rnn,5,backward_cold,cpu,64,1,57.84,57.84,none,0,0,0
rnn,5,backward_hot,cpu,64,2,116.091995,58.045998,none,0,0,0
rnn,5,step_sgd,cpu,64,2,5.994,2.997,none,0,0,0
rnn,5,step_adam,cpu,64,2,29.336,14.668,none,0,0,0
rnn,5,loss_read,cpu,64,1,0.024,0.024,every_step,0,0,0
rnn,5,step_resident,cpu,64,2,210.453,105.2265,spaced,0,0,0
rnn,5,forward_cold,gpu,64,1,49.219,49.219,none,0,0,43
