engine,repetition,case,iterations,load_ms,measure_ms,raster_ms,total_ms,width_milli,height_milli,lines,nonzero,alpha,rss_bytes
candidate,6,forced_static_raster,1000,0.0,0.33199984,429.31726,429.64925983999996,345000000,20000000,1000,4361000,757776000,82624512
candidate,7,forced_static_raster,1000,0.0,0.30599967,425.01328,425.31927967,345000000,20000000,1000,4361000,757776000,82624512
candidate,1,dynamic_short,400,0.0,28.561,165.00896,193.56996,110412000,8000000,400,1222419,211911178,97959936
candidate,2,dynamic_short,400,0.0,28.730993,165.49391,194.224903,110412000,8000000,400,1222419,211911178,97959936
candidate,3,dynamic_short,400,0.0,28.501999,163.72893,192.230929,110412000,8000000,400,1222419,211911178,97959936
candidate,4,dynamic_short,400,0.0,26.875998,155.19698,182.072978,110412000,8000000,400,1222419,211911178,97959936
candidate,5,dynamic_short,400,0.0,28.383999,164.00691,192.390909,110412000,8000000,400,1222419,211911178,97959936
candidate,6,dynamic_short,400,0.0,28.375006,163.52504,191.90004599999997,110412000,8000000,400,1222419,211911178,97976320
candidate,7,dynamic_short,400,0.0,26.978994,155.33606,182.315054,110412000,8000000,400,1222419,211911178,97959936
candidate,1,multi_script,240,0.0,0.65200144,79.39001,80.04201144000001,51920000,4800000,240,775600,146329960,60375040
candidate,2,multi_script,240,0.0,0.6570014,80.54902,81.2060214,51920000,4800000,240,775600,146329960,60342272
candidate,3,multi_script,240,0.0,0.6580013,80.73602,81.39402129999999,51920000,4800000,240,775600,146329960,60342272
candidate,4,multi_script,240,0.0,0.6310014,79.937035,80.5680364,51920000,4800000,240,775600,146329960,60293120
candidate,5,multi_script,240,0.0,0.63700134,79.958,80.59500134,51920000,4800000,240,775600,146329960,60342272
candidate,6,multi_script,240,0.0,0.6520014,79.01601,79.6680114,51920000,4800000,240,775600,146329960,60358656
candidate,7,multi_script,240,0.0,0.63700134,79.21001,79.84701134,51920000,4800000,240,775600,146329960,60358656
candidate,1,pressure_first,640,0.0,39.724022,409.25723,448.981252,311210000,12800000,640,4136458,722097919,123633664
candidate,2,pressure_first,640,0.0,41.704002,428.65692,470.360922,311210000,12800000,640,4136458,722097919,123600896
candidate,3,pressure_first,640,0.0,42.207954,427.1706,469.378554,311210000,12800000,640,4136458,722097919,123650048
candidate,4,pressure_first,640,0.0,39.98201,408.97406,448.95607,311210000,12800000,640,4136458,722097919,123568128
