agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
10000,1,state_machine,3,100,10,100,0.078999996,0.00078999996,0,10000,0,100,505000,11,5,2
10000,1,state_machine,4,100,10,100,0.077999994,0.00077999994,0,10000,0,100,505000,11,5,2
10000,1,state_machine,5,100,10,100,0.077999994,0.00077999994,0,10000,0,100,505000,11,5,2
10000,1,state_machine,6,100,10,100,0.075,0.00075,0,10000,0,100,505000,11,5,2
10000,1,state_machine,7,100,10,100,0.078999996,0.00078999996,0,10000,0,100,505000,11,5,2
10000,10,root,1,1000,10,100,581.308,5.81308,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,2,1000,10,100,602.484,6.02484,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,3,1000,10,100,585.541,5.85541,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,4,1000,10,100,587.944,5.87944,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,5,1000,10,100,575.20996,5.7520995,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,6,1000,10,100,682.804,6.82804,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,root,7,1000,10,100,591.47003,5.9147005,4000000,1000000,10000000,1000,50050000,11,5,2
10000,10,resume,1,1000,10,100,169.554,1.69554,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,2,1000,10,100,124.83199,1.24832,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,3,1000,10,100,105.058,1.05058,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,4,1000,10,100,151.256,1.51256,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,5,1000,10,100,101.076,1.01076,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,6,1000,10,100,115.31,1.1531,0,1000000,1000000,1000,50050000,11,5,2
10000,10,resume,7,1000,10,100,111.204994,1.1120499,0,1000000,1000000,1000,50050000,11,5,2
10000,10,event,1,1000,10,100,8.972,0.08972,0,100000,100000,1000,50050000,11,5,2
10000,10,event,2,1000,10,100,8.669,0.086689994,0,100000,100000,1000,50050000,11,5,2
10000,10,event,3,1000,10,100,9.531,0.09531,0,100000,100000,1000,50050000,11,5,2
10000,10,event,4,1000,10,100,8.79,0.0879,0,100000,100000,1000,50050000,11,5,2
10000,10,event,5,1000,10,100,9.164,0.091639996,0,100000,100000,1000,50050000,11,5,2
10000,10,event,6,1000,10,100,8.843,0.08843,0,100000,100000,1000,50050000,11,5,2
10000,10,event,7,1000,10,100,9.773,0.097729996,0,100000,100000,1000,50050000,11,5,2
10000,10,state_machine,1,1000,10,100,1.054,0.01054,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,2,1000,10,100,0.82100004,0.008210001,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,3,1000,10,100,0.841,0.00841,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,4,1000,10,100,0.839,0.00839,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,5,1000,10,100,0.813,0.00813,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,6,1000,10,100,0.831,0.0083099995,0,100000,0,1000,50050000,11,5,2
10000,10,state_machine,7,1000,10,100,0.813,0.00813,0,100000,0,1000,50050000,11,5,2
10000,100,root,1,10000,10,100,758.388,7.58388,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,2,10000,10,100,732.682,7.32682,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,3,10000,10,100,664.151,6.64151,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,4,10000,10,100,681.636,6.81636,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,5,10000,10,100,607.969,6.07969,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,6,10000,10,100,601.711,6.01711,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,root,7,10000,10,100,609.195,6.09195,4000000,1000000,10000000,10000,5000500000,11,5,2
10000,100,resume,1,10000,10,100,128.242,1.28242,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,2,10000,10,100,114.904,1.14904,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,3,10000,10,100,124.093,1.2409301,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,4,10000,10,100,115.988,1.15988,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,5,10000,10,100,124.947,1.24947,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,6,10000,10,100,116.777,1.16777,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,resume,7,10000,10,100,119.994995,1.19995,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,1,10000,10,100,113.06,1.1306,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,2,10000,10,100,110.648994,1.1064899,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,3,10000,10,100,120.925,1.20925,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,4,10000,10,100,125.09599,1.2509599,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,5,10000,10,100,116.851006,1.1685101,0,1000000,1000000,10000,5000500000,11,5,2
10000,100,event,6,10000,10,100,117.055,1.17055,0,1000000,1000000,10000,5000500000,11,5,2
